model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_西屯_C0F9T0_combined_windows,lstm,separate,西屯_C0F9T0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_西屯_C0F9T0_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_西屯_C0F9T0_combined_windows,,0.9
lstm_separate_沙鹿_C0F9X0_combined_windows,lstm,separate,沙鹿_C0F9X0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_沙鹿_C0F9X0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_沙鹿_C0F9X0_combined_windows,2.62025790309693,0.07
lstm_separate_沙鹿_C0F9X0_combined_windows,lstm,separate,沙鹿_C0F9X0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_沙鹿_C0F9X0_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_沙鹿_C0F9X0_combined_windows,,0.9
lstm_separate_宜蘭_467080_combined_windows,lstm,separate,宜蘭_467080_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_宜蘭_467080_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_宜蘭_467080_combined_windows,2.01605147914434,0.07
lstm_separate_宜蘭_467080_combined_windows,lstm,separate,宜蘭_467080_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_宜蘭_467080_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_宜蘭_467080_combined_windows,,0.9
lstm_separate_忠明_C0F9U0_combined_windows,lstm,separate,忠明_C0F9U0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_忠明_C0F9U0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_忠明_C0F9U0_combined_windows,2.52867842260555,0.07
lstm_separate_忠明_C0F9U0_combined_windows,lstm,separate,忠明_C0F9U0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_忠明_C0F9U0_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_忠明_C0F9U0_combined_windows,,0.9
lstm_separate_松山_C0AC70_combined_windows,lstm,separate,松山_C0AC70_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_松山_C0AC70_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_松山_C0AC70_combined_windows,2.85085221830239,0.07
lstm_separate_松山_C0AC70_combined_windows,lstm,separate,松山_C0AC70_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_松山_C0AC70_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_松山_C0AC70_combined_windows,,0.9
lstm_separate_板橋_C0ACA0_combined_windows,lstm,separate,板橋_C0ACA0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_板橋_C0ACA0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_板橋_C0ACA0_combined_windows,3.12137609369402,0.07
