station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank
苗栗_C0E750_combined_windows,2.64814595843153,1,lstm_separate_苗栗_C0E750_combined_windows,separate,72
西屯_C0F9T0_combined_windows,2.65628265577085,1,lstm_separate_西屯_C0F9T0_combined_windows,separate,73
斗六_C0K400_combined_windows,2.66020349610092,1,lstm_separate_斗六_C0K400_combined_windows,separate,74
美濃_72V140_combined_windows,2.66268966128088,1,lstm_separate_美濃_72V140_combined_windows,separate,75
土城_C0AD40_combined_windows,2.67243193952663,1,lstm_separate_土城_C0AD40_combined_windows,separate,76
安南_467420_combined_windows,2.69030473994124,1,lstm_separate_安南_467420_combined_windows,separate,77
新店_C0AC80_combined_windows,2.70274244077896,1,lstm_separate_新店_C0AC80_combined_windows,separate,78
龍潭_C0C670_combined_windows,2.70579418225461,1,lstm_separate_龍潭_C0C670_combined_windows,separate,79
嘉義_C0M730_combined_windows,2.70664023268688,1,lstm_separate_嘉義_C0M730_combined_windows,separate,80
臺南_467410_combined_windows,2.71688489321563,1,lstm_separate_臺南_467410_combined_windows,separate,81
新營_C0X250_combined_windows,2.73498484025919,1,lstm_separate_新營_C0X250_combined_windows,separate,82
基隆_466940_combined_windows,2.73513134465263,1,lstm_separate_基隆_466940_combined_windows,separate,83
線西_C0G890_combined_windows,2.75897510192022,1,lstm_separate_線西_C0G890_combined_windows,separate,84
恆春_B2Q810_combined_windows,2.76124761327237,1,lstm_separate_恆春_B2Q810_combined_windows,separate,85
桃園_C0C480_combined_windows,2.76906985116935,1,lstm_separate_桃園_C0C480_combined_windows,separate,86
林口_C0AH50_combined_windows,2.8008119018315,1,lstm_separate_林口_C0AH50_combined_windows,separate,87
善化_C0O900_combined_windows,2.83064560443719,1,lstm_separate_善化_C0O900_combined_windows,separate,88
平鎮_A2C560_combined_windows,2.84965696394818,1,lstm_separate_平鎮_A2C560_combined_windows,separate,89
松山_C0AC70_combined_windows,2.85085221830239,1,lstm_separate_松山_C0AC70_combined_windows,separate,90
屏東_C0R570_combined_windows,2.85924261260418,1,lstm_separate_屏東_C0R570_combined_windows,separate,91
萬里_C0A940_combined_windows,2.89846442658754,1,lstm_separate_萬里_C0A940_combined_windows,separate,92
古亭_C0AH10_combined_windows,2.90420663350023,1,lstm_separate_古亭_C0AH10_combined_windows,separate,93
朴子_C0M650_combined_windows,2.91680619388489,1,lstm_separate_朴子_C0M650_combined_windows,separate,94
楠梓_C0V770_combined_windows,2.95314279814551,1,lstm_separate_楠梓_C0V770_combined_windows,separate,95
士林_C0AI40_combined_windows,2.9691382083359,1,lstm_separate_士林_C0AI40_combined_windows,separate,96
大園_C0C590_combined_windows,2.97695876119053,1,lstm_separate_大園_C0C590_combined_windows,separate,97
汐止_C0AH00_combined_windows,2.99203529486592,1,lstm_separate_汐止_C0AH00_combined_windows,separate,98
仁武_C0V680_combined_windows,3.0348542993865,1,lstm_separate_仁武_C0V680_combined_windows,separate,99
觀音_467050_combined_windows,3.06298889084596,1,lstm_separate_觀音_467050_combined_windows,separate,100
菜寮_C0AD30_combined_windows,3.07691880993472,1,lstm_separate_菜寮_C0AD30_combined_windows,separate,101
馬祖_467990_combined_windows,3.08322983271826,1,lstm_separate_馬祖_467990_combined_windows,separate,102
麥寮_A2K360_combined_windows,3.09139387957686,1,lstm_separate_麥寮_A2K360_combined_windows,separate,103
前金_C0V690_combined_windows,3.0966134429559,1,lstm_separate_前金_C0V690_combined_windows,separate,104
板橋_C0ACA0_combined_windows,3.12137609369402,1,lstm_separate_板橋_C0ACA0_combined_windows,separate,105
永和_C0AH10_combined_windows,3.12220036449412,1,lstm_separate_永和_C0AH10_combined_windows,separate,106
橋頭_C0V760_combined_windows,3.14319422586218,1,lstm_separate_橋頭_C0V760_combined_windows,separate,107
左營_C0V810_combined_windows,3.14608709693124,1,lstm_separate_左營_C0V810_combined_windows,separate,108
前鎮_C0V490_combined_windows,3.14881714648984,1,lstm_separate_前鎮_C0V490_combined_windows,separate,109
萬華_466920_combined_windows,3.22177727618326,1,lstm_separate_萬華_466920_combined_windows,separate,110
復興_C0V710_combined_windows,3.23054617234228,1,lstm_separate_復興_C0V710_combined_windows,separate,111
二林_C0G730_combined_windows,3.24124240564321,1,lstm_separate_二林_C0G730_combined_windows,separate,112
大同_C0AI30_combined_windows,3.28219797849254,1,lstm_separate_大同_C0AI30_combined_windows,separate,113
小港_C0V450_combined_windows,3.32895340687128,1,lstm_separate_小港_C0V450_combined_windows,separate,114
新港_C0M790_combined_windows,3.35755097608157,1,lstm_separate_新港_C0M790_combined_windows,separate,115
潮州_C0R220_combined_windows,3.36192808993343,1,lstm_separate_潮州_C0R220_combined_windows,separate,116
中山_C0AH70_combined_windows,3.41804671919081,1,lstm_separate_中山_C0AH70_combined_windows,separate,117
金門_C0W150_combined_windows,3.42628115625173,1,lstm_separate_金門_C0W150_combined_windows,separate,118
大寮_C0V450_combined_windows,3.45568780908102,1,lstm_separate_大寮_C0V450_combined_windows,separate,119
中壢_A2C560_combined_windows,3.47137152316497,1,lstm_separate_中壢_A2C560_combined_windows,separate,120
淡水_466900_combined_windows,3.49068196819175,1,lstm_separate_淡水_466900_combined_windows,separate,121
林園_C0R640_combined_windows,3.62634727363092,1,lstm_separate_林園_C0R640_combined_windows,separate,122
臺西_C0K530_combined_windows,3.71224826619462,1,lstm_separate_臺西_C0K530_combined_windows,separate,123
三重_C0AI30_combined_windows,3.75924548436751,1,lstm_separate_三重_C0AI30_combined_windows,separate,124
崙背_C0K250_combined_windows,3.87484486868121,1,lstm_separate_崙背_C0K250_combined_windows,separate,125
chunk_01,10.6841869915312,1,lstm_combine_chunk_01,combine,126
chunk_02,16.3612178318754,1,lstm_combine_chunk_02,combine,127
chunk_03,16.4425769022047,1,lstm_combine_chunk_03,combine,128
