station,best_rmse,best_model_type,best_model_id,best_dataset_type,lgbm_count,lstm_count,total_models,avg_rmse,rmse_std
沙鹿_C0F9X0_combined_windows,2.5100791436561,lgbm,lgbm_separate_沙鹿_C0F9X0_combined_windows,separate,1,1,2,2.56516852337651,0.077908147943338
宜蘭_467080_combined_windows,2.01605147914434,lstm,lstm_separate_宜蘭_467080_combined_windows,separate,1,1,2,2.10225826179207,0.121914801188966
忠明_C0F9U0_combined_windows,2.48837698915593,lgbm,lgbm_separate_忠明_C0F9U0_combined_windows,separate,1,1,2,2.50852770588074,0.0284974168837682
松山_C0AC70_combined_windows,2.85085221830239,lstm,lstm_separate_松山_C0AC70_combined_windows,separate,1,1,2,2.85189448941132,0.0014739939379118
板橋_C0ACA0_combined_windows,3.12137609369402,lstm,lstm_separate_板橋_C0ACA0_combined_windows,separate,1,1,2,3.1620410355633,0.0575089123046395
林口_C0AH50_combined_windows,2.79577091420023,lgbm,lgbm_separate_林口_C0AH50_combined_windows,separate,1,1,2,2.79829140801586,0.0035645165379553
林園_C0R640_combined_windows,3.55063591893218,lgbm,lgbm_separate_林園_C0R640_combined_windows,separate,1,1,2,3.58849159628155,0.0535360123202986
花蓮_466990_combined_windows,1.97354331314769,lstm,lstm_separate_花蓮_466990_combined_windows,separate,1,1,2,2.01746201683755,0.0621104264000482
金門_C0W150_combined_windows,3.3961265553294,lgbm,lgbm_separate_金門_C0W150_combined_windows,separate,1,1,2,3.41120385579057,0.0213225227961578
前金_C0V690_combined_windows,3.0966134429559,lstm,lstm_separate_前金_C0V690_combined_windows,separate,1,1,2,3.11807014359936,0.030344357053757
前鎮_C0V490_combined_windows,3.14361979029353,lgbm,lgbm_separate_前鎮_C0V490_combined_windows,separate,1,1,2,3.14621846839169,0.00367508581065187
南投_C0I460_combined_windows,2.27748457596628,lgbm,lgbm_separate_南投_C0I460_combined_windows,separate,1,1,2,2.29353878833892,0.0227040848706116
屏東_C0R570_combined_windows,2.85924261260418,lstm,lstm_separate_屏東_C0R570_combined_windows,separate,1,1,2,2.87580628977313,0.0234245768950992
恆春_B2Q810_combined_windows,2.76124761327237,lstm,lstm_separate_恆春_B2Q810_combined_windows,separate,1,1,2,2.99091113881096,0.324793272599089
美濃_72V140_combined_windows,2.66228219775374,lgbm,lgbm_separate_美濃_72V140_combined_windows,separate,1,1,2,2.66248592951731,0.000288120223128018
苗栗_C0E750_combined_windows,2.64814595843153,lstm,lstm_separate_苗栗_C0E750_combined_windows,separate,1,1,2,2.65555690104703,0.0104806555568177
埔里_C0H890_combined_windows,2.05254472000147,lgbm,lgbm_separate_埔里_C0H890_combined_windows,separate,1,1,2,2.11689875624799,0.0910103508532818
桃園_C0C480_combined_windows,2.73186988068386,lgbm,lgbm_separate_桃園_C0C480_combined_windows,separate,1,1,2,2.75046986592661,0.0263043513902281
馬公_467350_combined_windows,2.05201687701483,lgbm,lgbm_separate_馬公_467350_combined_windows,separate,1,1,2,2.0612485654775,0.0130555790275058
馬祖_467990_combined_windows,3.08322983271826,lstm,lstm_separate_馬祖_467990_combined_windows,separate,1,1,2,3.14342922731341,0.0851348002831067
基隆_466940_combined_windows,2.73513134465263,lstm,lstm_separate_基隆_466940_combined_windows,separate,1,1,2,2.81632712674372,0.114828176240711
崙背_C0K250_combined_windows,3.75108322314008,lgbm,lgbm_separate_崙背_C0K250_combined_windows,separate,1,1,2,3.81296404591065,0.0875126988129441
淡水_466900_combined_windows,3.11465584279673,lgbm,lgbm_separate_淡水_466900_combined_windows,separate,1,1,2,3.30266890549424,0.26589062317012
麥寮_A2K360_combined_windows,2.90931783431151,lgbm,lgbm_separate_麥寮_A2K360_combined_windows,separate,1,1,2,3.00035585694418,0.128747206298755
善化_C0O900_combined_windows,2.68547428215721,lgbm,lgbm_separate_善化_C0O900_combined_windows,separate,1,1,2,2.7580599432972,0.102651626417993
富貴角_C0AI20_combined_windows,2.16148021160301,lstm,lstm_separate_富貴角_C0AI20_combined_windows,separate,1,1,2,2.1949797264741,0.0473754682636152
復興_C0V710_combined_windows,3.16871567236373,lgbm,lgbm_separate_復興_C0V710_combined_windows,separate,1,1,2,3.19963092235301,0.0437207658189881
湖口_C0D650_combined_windows,2.36192454757447,lgbm,lgbm_separate_湖口_C0D650_combined_windows,separate,1,1,2,2.38950605592645,0.0390061431820671
菜寮_C0AD30_combined_windows,2.98822351511682,lgbm,lgbm_separate_菜寮_C0AD30_combined_windows,separate,1,1,2,3.03257116252577,0.062717044425077
陽明_466910_combined_windows,2.06988562623405,lgbm,lgbm_separate_陽明_466910_combined_windows,separate,1,1,2,2.07241340542799,0.00357481961875131
新竹_C0D660_combined_windows,2.49516075638609,lstm,lstm_separate_新竹_C0D660_combined_windows,separate,1,1,2,2.57070989504407,0.106842616515722
新店_C0AC80_combined_windows,2.70274244077896,lstm,lstm_separate_新店_C0AC80_combined_windows,separate,1,1,2,2.76588333362954,0.089294707009645
新莊_C0ACA0_combined_windows,2.60834447738534,lgbm,lgbm_separate_新莊_C0ACA0_combined_windows,separate,1,1,2,2.6122193047766,0.00547983344857574
新港_C0M790_combined_windows,3.20480690233973,lgbm,lgbm_separate_新港_C0M790_combined_windows,separate,1,1,2,3.28117893921065,0.108006370328912
新營_C0X250_combined_windows,2.65759507268957,lgbm,lgbm_separate_新營_C0X250_combined_windows,separate,1,1,2,2.69628995647438,0.0547228294429234
楠梓_C0V770_combined_windows,2.95314279814551,lstm,lstm_separate_楠梓_C0V770_combined_windows,separate,1,1,2,2.96329838303583,0.014362165885715
萬里_C0A940_combined_windows,2.77058365514186,lgbm,lgbm_separate_萬里_C0A940_combined_windows,separate,1,1,2,2.8345240408647,0.090425360672608
萬華_466920_combined_windows,3.22177727618326,lstm,lstm_separate_萬華_466920_combined_windows,separate,1,1,2,3.23600719501657,0.0201241442055374
嘉義_C0M730_combined_windows,2.67882121174819,lgbm,lgbm_separate_嘉義_C0M730_combined_windows,separate,1,1,2,2.69273072221754,0.0196710183517182
彰化_C0G910_combined_windows,2.26435225480177,lgbm,lgbm_separate_彰化_C0G910_combined_windows,separate,1,1,2,2.42780019365666,0.23115029187052
臺西_C0K530_combined_windows,3.68315547681682,lgbm,lgbm_separate_臺西_C0K530_combined_windows,separate,1,1,2,3.69770187150572,0.020571708652673
臺東_C0SA10_combined_windows,2.26934509852963,lstm,lstm_separate_臺東_C0SA10_combined_windows,separate,1,1,2,2.61860384716398,0.493926459096156
臺南_467410_combined_windows,2.68766706389208,lgbm,lgbm_separate_臺南_467410_combined_windows,separate,1,1,2,2.70227597855386,0.0206601252462336
潮州_C0R220_combined_windows,3.22058299863051,lgbm,lgbm_separate_潮州_C0R220_combined_windows,separate,1,1,2,3.29125554428197,0.0999460725477269
線西_C0G890_combined_windows,2.54501353358081,lgbm,lgbm_separate_線西_C0G890_combined_windows,separate,1,1,2,2.65199431775051,0.151293675886109
橋頭_C0V760_combined_windows,3.14319422586218,lstm,lstm_separate_橋頭_C0V760_combined_windows,separate,1,1,2,3.15406071600792,0.015367537739496
頭份_C0E420_combined_windows,2.23992834753367,lgbm,lgbm_separate_頭份_C0E420_combined_windows,separate,1,1,2,2.26354261441939,0.0333956164952922
龍潭_C0C670_combined_windows,2.67486059935444,lgbm,lgbm_separate_龍潭_C0C670_combined_windows,separate,1,1,2,2.69032739080453,0.0218733462351108
豐原_C0F9M0_combined_windows,2.17975261459903,lgbm,lgbm_separate_豐原_C0F9M0_combined_windows,separate,1,1,2,2.27225736293024,0.130821469673912
觀音_467050_combined_windows,2.97014902773665,lgbm,lgbm_separate_觀音_467050_combined_windows,separate,1,1,2,3.01656895929131,0.0656476967690201
norm_Nomorlization_崙背_C0K250_combined_windows,0.0917020563220379,lstm,lstm_separate_norm_Nomorlization_崙背_C0K250_combined_windows,separate,0,1,1,0.0917020563220379,
