station,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank
湖口_C0D650_combined_windows,2.36192454757447,1,lgbm_separate_湖口_C0D650_combined_windows,separate,63
西屯_C0F9T0_combined_windows,2.36895383415484,1,lgbm_separate_西屯_C0F9T0_combined_windows,separate,64
竹山_U2HA50_combined_windows,2.38323235086839,1,lgbm_separate_竹山_U2HA50_combined_windows,separate,65
chunk_02,2.45070465534215,1,lgbm_combine_chunk_02,combine,66
大里_C0F9N0_combined_windows,2.46886815996715,1,lgbm_separate_大里_C0F9N0_combined_windows,separate,67
忠明_C0F9U0_combined_windows,2.48837698915593,1,lgbm_separate_忠明_C0F9U0_combined_windows,separate,68
沙鹿_C0F9X0_combined_windows,2.5100791436561,1,lgbm_separate_沙鹿_C0F9X0_combined_windows,separate,69
線西_C0G890_combined_windows,2.54501353358081,1,lgbm_separate_線西_C0G890_combined_windows,separate,70
新莊_C0ACA0_combined_windows,2.60834447738534,1,lgbm_separate_新莊_C0ACA0_combined_windows,separate,71
安南_467420_combined_windows,2.61682787499964,1,lgbm_separate_安南_467420_combined_windows,separate,72
斗六_C0K400_combined_windows,2.6247120347225,1,lgbm_separate_斗六_C0K400_combined_windows,separate,73
新竹_C0D660_combined_windows,2.64625903370206,1,lgbm_separate_新竹_C0D660_combined_windows,separate,74
新營_C0X250_combined_windows,2.65759507268957,1,lgbm_separate_新營_C0X250_combined_windows,separate,75
美濃_72V140_combined_windows,2.66228219775374,1,lgbm_separate_美濃_72V140_combined_windows,separate,76
苗栗_C0E750_combined_windows,2.66296784366254,1,lgbm_separate_苗栗_C0E750_combined_windows,separate,77
龍潭_C0C670_combined_windows,2.67486059935444,1,lgbm_separate_龍潭_C0C670_combined_windows,separate,78
嘉義_C0M730_combined_windows,2.67882121174819,1,lgbm_separate_嘉義_C0M730_combined_windows,separate,79
善化_C0O900_combined_windows,2.68547428215721,1,lgbm_separate_善化_C0O900_combined_windows,separate,80
臺南_467410_combined_windows,2.68766706389208,1,lgbm_separate_臺南_467410_combined_windows,separate,81
平鎮_A2C560_combined_windows,2.72748657440327,1,lgbm_separate_平鎮_A2C560_combined_windows,separate,82
桃園_C0C480_combined_windows,2.73186988068386,1,lgbm_separate_桃園_C0C480_combined_windows,separate,83
萬里_C0A940_combined_windows,2.77058365514186,1,lgbm_separate_萬里_C0A940_combined_windows,separate,84
土城_C0AD40_combined_windows,2.77581853580424,1,lgbm_separate_土城_C0AD40_combined_windows,separate,85
林口_C0AH50_combined_windows,2.79577091420023,1,lgbm_separate_林口_C0AH50_combined_windows,separate,86
朴子_C0M650_combined_windows,2.80388203932935,1,lgbm_separate_朴子_C0M650_combined_windows,separate,87
新店_C0AC80_combined_windows,2.82902422648013,1,lgbm_separate_新店_C0AC80_combined_windows,separate,88
chunk_01,2.84328144030001,1,lgbm_combine_chunk_01,combine,89
松山_C0AC70_combined_windows,2.85293676052025,1,lgbm_separate_松山_C0AC70_combined_windows,separate,90
大園_C0C590_combined_windows,2.86548470235699,1,lgbm_separate_大園_C0C590_combined_windows,separate,91
屏東_C0R570_combined_windows,2.89236996694208,1,lgbm_separate_屏東_C0R570_combined_windows,separate,92
chunk_03,2.89578088794105,1,lgbm_combine_chunk_03,combine,93
基隆_466940_combined_windows,2.89752290883481,1,lgbm_separate_基隆_466940_combined_windows,separate,94
麥寮_A2K360_combined_windows,2.90931783431151,1,lgbm_separate_麥寮_A2K360_combined_windows,separate,95
