station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
南投_C0I460_combined_windows,2.30959300071157,1,lstm_separate_南投_C0I460_combined_windows,separate,62,2.27748457596628,1,lgbm_separate_南投_C0I460_combined_windows,separate,62,0.436028814542978,62
湖口_C0D650_combined_windows,2.41708756427842,1,lstm_separate_湖口_C0D650_combined_windows,separate,64,2.36192454757447,1,lgbm_separate_湖口_C0D650_combined_windows,separate,63,0.418552299004092,63
彰化_C0G910_combined_windows,2.59124813251156,1,lstm_separate_彰化_C0G910_combined_windows,separate,69,2.26435225480177,1,lgbm_separate_彰化_C0G910_combined_windows,separate,61,0.413770906341888,64
竹山_U2HA50_combined_windows,2.51997895263291,1,lstm_separate_竹山_U2HA50_combined_windows,separate,67,2.38323235086839,1,lgbm_separate_竹山_U2HA50_combined_windows,separate,65,0.408213454628785,65
大里_C0F9N0_combined_windows,2.47788892941412,1,lstm_separate_大里_C0F9N0_combined_windows,separate,65,2.46886815996715,1,lgbm_separate_大里_C0F9N0_combined_windows,separate,67,0.404306622443129,66
西屯_C0F9T0_combined_windows,2.65628265577085,1,lstm_separate_西屯_C0F9T0_combined_windows,separate,73,2.36895383415484,1,lgbm_separate_西屯_C0F9T0_combined_windows,separate,64,0.399296611876252,67
忠明_C0F9U0_combined_windows,2.52867842260555,1,lstm_separate_忠明_C0F9U0_combined_windows,separate,68,2.48837698915593,1,lgbm_separate_忠明_C0F9U0_combined_windows,separate,68,0.398665930248544,68
沙鹿_C0F9X0_combined_windows,2.62025790309693,1,lstm_separate_沙鹿_C0F9X0_combined_windows,separate,71,2.5100791436561,1,lgbm_separate_沙鹿_C0F9X0_combined_windows,separate,69,0.390017817258908,69
新竹_C0D660_combined_windows,2.49516075638609,1,lstm_separate_新竹_C0D660_combined_windows,separate,66,2.64625903370206,1,lgbm_separate_新竹_C0D660_combined_windows,separate,74,0.389333867887498,70
臺東_C0SA10_combined_windows,2.26934509852963,1,lstm_separate_臺東_C0SA10_combined_windows,separate,60,2.96786259579833,1,lgbm_separate_臺東_C0SA10_combined_windows,separate,98,0.388799293682955,71
新莊_C0ACA0_combined_windows,2.61609413216786,1,lstm_separate_新莊_C0ACA0_combined_windows,separate,70,2.60834447738534,1,lgbm_separate_新莊_C0ACA0_combined_windows,separate,71,0.382817092919528,72
斗六_C0K400_combined_windows,2.66020349610092,1,lstm_separate_斗六_C0K400_combined_windows,separate,74,2.6247120347225,1,lgbm_separate_斗六_C0K400_combined_windows,separate,73,0.378452633990018,73
線西_C0G890_combined_windows,2.75897510192022,1,lstm_separate_線西_C0G890_combined_windows,separate,84,2.54501353358081,1,lgbm_separate_線西_C0G890_combined_windows,separate,70,0.377689326490021,74
安南_467420_combined_windows,2.69030473994124,1,lstm_separate_安南_467420_combined_windows,separate,77,2.61682787499964,1,lgbm_separate_安南_467420_combined_windows,separate,72,0.376923582404448,75
苗栗_C0E750_combined_windows,2.64814595843153,1,lstm_separate_苗栗_C0E750_combined_windows,separate,72,2.66296784366254,1,lgbm_separate_苗栗_C0E750_combined_windows,separate,77,0.376571779667364,76
美濃_72V140_combined_windows,2.66268966128088,1,lstm_separate_美濃_72V140_combined_windows,separate,75,2.66228219775374,1,lgbm_separate_美濃_72V140_combined_windows,separate,76,0.375588841529205,77
龍潭_C0C670_combined_windows,2.70579418225461,1,lstm_separate_龍潭_C0C670_combined_windows,separate,79,2.67486059935444,1,lgbm_separate_龍潭_C0C670_combined_windows,separate,78,0.371714258991612,78
